Cluster,StoreNumber,StoreName,Latitude,Longitude,CLASS_FP_KNIT_TOPS,CLASS_FP_JEANS,CLASS_FP_W_DRESSES,CLASS_FP_BEACH,CLASS_FP_ENDLESS_SUMMER,CLASS_FP_SWEATERS,CLASS_FP_WOVEN_BLOUSES,CLASS_FP_PANTS,CLASS_FP_BOOTS,CLASS_FP_W_HEAVY_KNITS,CLASS_FP_BLAZERS___JACKETS,CLASS_FP_CASUAL_OUTERWEAR,CLASS_FP_ATHLETIC,CLASS_FP_SHORTS,CLASS_FP_TREND_SHOES,CLASS_FP_OUTERWEAR,CLASS_FP_SKIRTS,CLASS_FP_PERFORMANCE_SHORTS,CLASS_FP_W_PARTY_DRESSES,CLASS_FP_CASUAL_ONE_PIECES,CLASS_FP_SANDALS,CLASS_FP_PERFORMANCE_CAMIS,CLASS_FP_LOUNGE,CLASS_FP_SLIPS,CLASS_FP_BODY,CLASS_FP_JEWELRY,CLASS_FP_BRAS,CLASS_FP_FP_SCARVES,CLASS_FP_CASUAL_BOTTOMS,CLASS_FP_MOVEMENT_HEAVYWEIGHTS,CLASS_FP_PERFORMANCE_ONE_PIECES,CLASS_FP_HATS,CLASS_FP_PERFORMANCE_LEGGINGS,CLASS_FP_BELTS,CLASS_FP_CASUAL_LAYERING,CLASS_FP_BRAS___MOVEMENT,CLASS_FP_ONE_PIECE,CLASS_FP_SUNGLASSES,CLASS_FP_SWIM_TOPS,CLASS_FP_PERFORMANCE_OUTERWEAR,CLASS_FP_HAIR_ACCESSORIES,CLASS_FP_PERFORMANCE_LAYERING,CLASS_FP_SWIM_BOTTOMS,CLASS_FP_MOVEMENT_BAGS,CLASS_FP_CASUAL_SHORTS,CLASS_FP_CASUAL_SETS,CLASS_FP_SUNSUITS,CLASS_FP_PERFORMANCE_BOTTOMS,CLASS_FP_SURF_ONE_PIECE,CLASS_FP_UNDIES,CLASS_FP_UNDERWIRE_BRAS,CLASS_FP_PERFORMANCE_SETS,CLASS_SUITS,CLASS_FP_MOVEMENT_SOCKS,CLASS_FP_SURF_TOPS,CLASS_FP_IN_CASE_JEWELRY,CLASS_MOVEMENT_ACCESSORIES,CLASS_FP_SURF_BOTTOMS,CLASS_FP_MOVEMENT_HATS,CLASS_FP_MISC_ACCESSORIES
2,1820,VA BEACH TOWN CTR.  ,36.8423156,-76.1329993,1.119116734,1.00773721,1.018798627,1.157344391,1.118253349,1.151661135,1.090201119,0.838441483,0.909106553,1.167138952,1.048262303,0.824867612,0.9475063,0.976987917,0.810590988,0.704927061,0.865129909,1.34139776,0.735854017,1.144640231,0.934696537,1.081020613,1.095605482,0.996570787,1.097914311,1.071646824,0.974192034,0.959166008,0.851856526,1.170679146,0.858631303,0.888851715,0.987377148,1.140352785,1.007397553,0.785346714,0.739990325,0.951307277,0.847212219,0.693189853,0.763634167,0.799888915,0.845592677,0.796295902,0.972641459,0.974853739,0.668146194,0.552710685,0.738994572,1.245357029,0.949296013,0.746897159,0.633464152,0.818425127,0.330034959,2.099150161,0.704853718,0.676874397,0.759050324,0.908698678
2,1822,"ANNAPOLIS, MD  MALL  ",38.9901729,-76.5430742,1.127315678,0.996971308,0.990017082,1.144861554,1.114108249,0.980703203,1.036101033,0.886769299,1.090136962,1.24156123,0.958988143,0.750281127,1.106237011,0.824181908,0.98701729,0.860640374,0.896123569,0.843524053,0.843304763,1.030568718,1.086548789,0.843362351,1.104281948,0.922543315,1.004086353,1.145824055,0.852514168,1.291706328,0.940748945,1.399940898,0.62526767,0.805357341,0.915582949,1.090129476,1.048567351,0.96637577,0.631641513,1.279222928,0.84972387,0.879640342,0.882812751,0.756356707,0.746435528,0.908450579,0.843627585,1.518632957,0.597890783,1.166059047,0.888895813,0.657950232,0.657287964,0.730636079,0.733301907,0.729693005,0.7439564,0.304309123,0.450993441,0.722560766,0.671023201,1.068455863
2,1825,BALTIMORE HARBOR E.  ,39.2828892,-76.5997049,1.059971389,0.927415076,0.925471395,1.133869036,1.000867102,0.995076605,0.926452039,0.92217547,1.074197194,1.158098131,0.952843433,0.909745578,1.176995817,0.99311353,1.079165351,0.985127266,0.906886347,1.04037297,0.798064322,1.021279413,1.101326073,0.950603384,1.141031946,0.90423075,1.044227299,1.078921306,0.866696621,1.149041865,0.940846719,1.281766949,0.890144296,0.895822115,1.003520542,1.072598434,1.124308964,1.056212774,0.742556873,1.260802387,0.767297255,0.666286343,0.958282474,0.970193851,0.740933615,1.045564097,0.925823348,1.110413425,0.805716756,0.939485346,0.619617354,0.873507119,0.706347007,0.927803787,1.022985866,0.985505156,0.836845588,0.488830828,0.696809344,0.739610565,0.977306319,1.082881994
2,1826,"BRIDGEWATER, NJ  ",40.5858311,-74.6193571,1.210689373,0.91994048,0.964494095,1.11913166,1.015896829,1.251182908,1.062034116,0.98035072,0.850202701,1.267209927,0.945363157,1.167640527,1.003895018,0.976621205,0.829087582,1.030290718,0.957821953,0.758162838,0.844771037,0.866312342,0.860121337,0.792446851,0.927827262,0.881293438,1.075791294,0.977451116,0.866100073,0.981635135,0.812211297,1.055044802,0.790849273,0.860009879,0.945619145,0.922690708,0.946195161,0.863094755,0.83976271,1.00895776,0.93275002,0.572418315,1.038975504,1.078982244,0.911468537,0.857993036,0.881244409,1.013167825,0.998257252,0.710999021,0.561762649,0.805917608,0.795811839,1.07792897,0.66473553,0.941159834,0.71995494,1.051112596,0.749218374,0.96958643,0.912047512,0.642779642
2,1827,"PROVIDENCE, RI  ",41.8280252,-71.4159517,1.118754952,1.025781974,0.944970981,1.048595797,0.971028078,1.270908791,1.030406578,0.879992214,1.008631878,1.479580223,0.873207565,1.04611883,0.955170515,0.871438065,0.978162249,0.990838701,0.912633689,0.775487321,0.896739821,1.083175799,0.88479484,0.909304833,0.874748803,0.914698862,1.059920089,0.957455753,0.895565472,1.019800338,0.923609703,1.216447512,0.689139337,0.986863262,0.857326456,1.122125415,1.121332964,0.850887059,0.950162318,0.724831388,0.767470024,0.720782802,0.979621608,0.76944611,0.770448984,0.941185296,0.986891432,0.725794435,0.685707801,0.74866646,0.565111025,0.786357574,0.864690451,0.618045805,0.379909382,0.934200822,0.77869481,1.258776717,0.811871505,0.947996935,1.321863515,0.934773456
2,1830,WASHINGTON DC M ST.  ,38.9053685,-77.0595269,1.012125528,0.975390446,0.9892867,1.075588613,1.031378149,1.015959173,0.933153367,0.892003011,0.955907083,0.969616673,0.959442391,1.040233239,1.119468104,1.0337338,1.04752164,0.958997827,0.994596444,0.995757625,0.913106688,0.830123081,1.097868976,1.001311529,0.997571027,0.95274338,1.103844443,1.023524385,0.982676743,1.099568163,1.115820771,1.076991833,0.875212644,0.88321288,0.943299265,0.938058444,1.141027323,1.027898922,0.898312523,1.232638056,0.869306769,0.916215324,1.022528683,1.017715463,0.90246665,1.039464129,1.037954753,1.151728476,0.764980253,1.12009285,1.073395462,1.107174999,1.030982519,1.013530114,0.689016727,1.132979672,1.142435326,0.650950279,1.032137326,1.056854912,0.898895197,1.124977146
2,1842,"DANBURY, CT  ",41.3800517,-73.4817327,1.12203515,1.122640827,0.844075706,0.959022432,0.849775742,1.343720979,0.984462917,1.073656552,0.902977413,1.272812584,1.051793902,1.308451274,0.977691671,1.079451206,0.886173783,1.038014037,1.101487148,0.812127617,0.781892755,0.870049357,0.96319634,0.716272564,0.983675539,0.839271106,0.950892929,0.880861485,0.787833068,0.896075365,1.031359807,1.109406494,0.687750253,0.887449011,0.843553158,0.919240135,1.036607311,0.697303705,1.03266135,0.722810467,0.954725114,1.16888348,0.7996939,0.878955078,0.887414044,0.804422335,1.038271081,0.712713132,0.721958731,0.722417336,1.276426751,0.800001929,0.577032714,0.783490557,0.489893931,0.952580268,1.353215776,0.417398197,0.877008528,1.385209937,1.079577051,0.700289448
2,1852,"WESTPORT, CT  ",41.1384543,-73.3430989,1.106749901,1.02714635,0.909980931,0.971472068,0.891771843,1.345882096,0.983518375,1.002125387,0.949421185,1.05293542,0.996900386,1.294368377,1.128831993,1.009156582,0.92733743,1.058563508,1.009959875,0.83540323,0.9206758,0.793272722,0.972532045,0.754559274,0.948196736,0.87332163,0.974946484,0.894128587,0.822622906,0.908769064,0.958569055,0.97697753,0.756708088,0.87773187,1.019309028,0.859694418,1.140310003,0.791080474,1.055910964,0.826020484,1.015060524,1.108606055,0.859726827,0.870691419,1.003841439,0.813903949,0.865056451,0.714411704,0.772516441,0.738173434,1.233080258,0.946841204,0.958303601,1.001749415,0.653423942,0.943225111,1.097671461,0.401197488,0.884353752,1.053260677,1.126643699,0.954151157
2,1855,PRINCETON MARKETFAIR  ,40.314829,-74.660967,1.299486177,0.893190842,0.956686685,1.078480289,0.918070459,1.16142343,1.219756561,1.043687137,1.011948756,1.407767858,1.126462834,0.904996296,0.99793737,0.79279084,0.93321505,1.017552177,0.895937968,0.672218389,0.823953831,1.103445026,0.978101938,0.838683439,1.017170001,0.784607309,0.907249115,1.095983043,0.74970784,1.042808685,0.96560773,1.064895125,0.648144247,0.788396675,0.812224826,0.98075854,1.130123573,0.76343384,0.691940751,0.83889235,0.6259393,0.519620946,1.067482692,1.025586436,0.612208882,1.071284731,0.882896727,1.089446545,0.674239297,0.904228577,0.60075995,0.839164784,0.695711238,0.683864665,0.718579764,0.974268491,0.571967525,0.545580876,0.920709228,0.686759774,0.949907502,0.726493314
2,857,BUFFALO NY WALDEN GAL  ,42.9135693,-78.7633117,1.185758654,0.876229154,0.835235398,0.999186455,0.853761683,1.300338684,1.028097326,0.87727735,0.973986106,1.53375069,1.039377113,1.058147991,0.778425441,0.962622672,0.840945407,1.013105873,0.827085122,0.906921764,0.70886219,1.078759689,0.819851077,1.033547991,1.115997002,1.039864755,1.191583923,1.203447564,0.87344283,1.014663376,1.200912196,1.493582517,0.618665555,0.949714585,0.81024645,0.904944919,1.554142762,0.766261471,0.731535196,0.882494154,0.688882803,1.271182787,1.240400285,1.153441395,0.672346433,1.09608356,0.957167355,1.075476145,0.839742063,1.112024573,0.648136109,0.799232162,0.966321222,0.513631029,0.639415757,1.106229965,0.563360935,5.977580641,1.10157909,0.414403729,1.200356452,1.37697835
