Cluster,StoreNumber,StoreName,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
2,1820,VA BEACH TOWN CTR.  ,VIRGINIA BEACH,23462,VA,C2,LIFESTYLE CENTER,COLD,EAST COAST-MID-ATLANTIC DISTRICT,36.8423156,-76.1329993,5592894.49,3392698.72
2,1822,"ANNAPOLIS, MD  MALL  ",ANNAPOLIS,21401,MD,B2,LIFESTYLE CENTER,COLD,EAST COAST-MID-ATLANTIC DISTRICT,38.9901729,-76.5430742,6300551.41,3862859.56
2,1825,BALTIMORE HARBOR E.  ,BALTIMORE,21202,MD,F,LIFESTYLE CENTER,COLD,EAST COAST-MID-ATLANTIC DISTRICT,39.2828892,-76.5997049,11793446.96,7114634.71
2,1826,"BRIDGEWATER, NJ  ",BRIDGEWATER,8807,NJ,F,TRADITIONAL MALL,COLD,EAST COAST-NORTHEAST,40.5858311,-74.6193571,14995018.11,8556887.45
2,1827,"PROVIDENCE, RI  ",PROVIDENCE,2903,RI,C2,TRADITIONAL MALL,COLD,EAST COAST-NEW ENGLAND,41.8280252,-71.4159517,6338493.44,3927025.42
2,1830,WASHINGTON DC M ST.  ,WASHINGTON,20007,DC,A1,METRO,COLD,EAST COAST-MID-ATLANTIC DISTRICT,38.9053685,-77.0595269,30120258.08,17389094.09
2,1842,"DANBURY, CT  ",DANBURY,6810,CT,C2,TRADITIONAL MALL,COLD,EAST COAST-NEW ENGLAND,41.3800517,-73.4817327,9417606.35,5543117.17
2,1852,"WESTPORT, CT  ",WESTPORT,6880,CT,A1,METRO,COLD,EAST COAST-NEW ENGLAND,41.1384543,-73.3430989,14022398.73,8260814.26
2,1855,PRINCETON MARKETFAIR  ,PRINCETON,8540,NJ,C3,LIFESTYLE CENTER,COLD,EAST COAST-NORTHEAST,40.314829,-74.660967,10839546.95,6141426.86
2,857,BUFFALO NY WALDEN GAL  ,BUFFALO,14225,NY,B2,TRADITIONAL MALL,COLD,CENTRAL-MID-WEST DISTRICT,42.9135693,-78.7633117,4858837.96,2793672.61
2,861,CHICAGO SOUTHPORT AV  ,CHICAGO,60657,IL,F,METRO,COLD,CENTRAL-GREATER CHICAGO,41.9448792,-87.6636988,35589040.84,19787287.5
2,1835,"SKOKIE, IL  ",SKOKIE,60077,IL,B3,TRADITIONAL MALL,COLD,CENTRAL-GREATER CHICAGO,42.0615141,-87.7490376,36517199.19,20179144.03
2,806,"ARDMORE, PA SUBURB SQ  ",ARDMORE,19003,PA,F,LIFESTYLE CENTER,COLD,EAST COAST-NORTHEAST,40.0083372,-75.2889406,36056361.48,21671771.76
2,811,"CHICAGO, IL MILWAUKEE  ",CHICAGO,60642,IL,F,METRO,COLD,CENTRAL-GREATER CHICAGO,41.9083686,-87.6747418,34964813.3,19564398.66
2,1808,COLUMBUS OH  EASTON  ,COLUMBUS,43219,OH,B3,LIFESTYLE CENTER,COLD,CENTRAL-MID-WEST DISTRICT,40.0519492,-82.9139101,9153038.18,5337385.86
2,839,PITTSBURGH PA  BAKERY  ,PITTSBURGH,15206,PA,F,METRO,COLD,CENTRAL-MID-WEST DISTRICT,40.4569922,-79.9171553,12466455.12,7436828
2,6032,"FP MOV NEWTOWN, PA  ",NEWTOWN,18940,PA,UNKNOWN,UNKNOWN,,EAST COAST-MVMT - EAST COAST,40.2336182,-74.9399553,15763459.38,9635082.96
2,1848,"OAKBROOK CTR, IL  ",OAK BROOK,60523,IL,B2,TRADITIONAL MALL,COLD,CENTRAL-GREATER CHICAGO,41.8516507,-87.9525153,38995258.26,21997672.38
